X,Y,Name,Notes,ID_no,Area_ha
147.247258202773,-43.4945904998622,Eastern Australia,,"24",101899466.295
147.13474515863,-43.4965055449754,Eastern Australia,,"24",101899466.295
147.177983794081,-43.4934454664091,Eastern Australia,,"24",101899466.295
147.1501355919,-43.4933000950408,Eastern Australia,,"24",101899466.295
147.177801705067,-43.4925299999999,Eastern Australia,,"24",101899466.295
147.263731000215,-43.492100128554,Eastern Australia,,"24",101899466.295
147.006656233309,-43.4913447830695,Eastern Australia,,"24",101899466.295
147.262790679612,-43.4913152069014,Eastern Australia,,"24",101899466.295
147.152580606608,-43.4914053448486,Eastern Australia,,"24",101899466.295
147.151684529436,-43.4909755162458,Eastern Australia,,"24",101899466.295
147.168562515718,-43.4904403360528,Eastern Australia,,"24",101899466.295
